Datum,Tag,Zeit,Leistung_Total,Leistung_NCS,Leistung_HPC,Leistung_MCS,Ladestrategie,Netzanschluss,Ladequote
2024-01-08T03:50:00,1,230,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T03:55:00,1,235,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T04:00:00,1,240,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T04:05:00,1,245,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T04:10:00,1,250,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T04:15:00,1,255,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T04:20:00,1,260,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T04:25:00,1,265,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T04:30:00,1,270,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T04:35:00,1,275,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T04:40:00,1,280,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T04:45:00,1,285,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T04:50:00,1,290,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T04:55:00,1,295,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T05:00:00,1,300,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T05:05:00,1,305,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T05:10:00,1,310,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T05:15:00,1,315,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T05:20:00,1,320,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T05:25:00,1,325,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T05:30:00,1,330,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T05:35:00,1,335,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T05:40:00,1,340,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T05:45:00,1,345,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T05:50:00,1,350,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T05:55:00,1,355,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T06:00:00,1,360,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T06:05:00,1,365,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T06:10:00,1,370,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T06:15:00,1,375,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T06:20:00,1,380,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T06:25:00,1,385,568.3598852670713,568.3598852670713,0.0,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T06:30:00,1,390,759.7690241041915,568.3598852670713,191.4091388371203,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T06:35:00,1,395,759.7690241041915,568.3598852670713,191.4091388371203,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T06:40:00,1,400,759.7690241041915,568.3598852670713,191.4091388371203,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T06:45:00,1,405,759.7690241041915,568.3598852670713,191.4091388371203,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T06:50:00,1,410,759.7690241041915,568.3598852670713,191.4091388371203,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T06:55:00,1,415,759.7690241041915,568.3598852670713,191.4091388371203,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T07:00:00,1,420,759.7690241041915,568.3598852670713,191.4091388371203,0.0,Konstant,5900.0,0.9784172661870504
2024-01-08T07:05:00,1,425,759.7690241041915,568.3598852670713,191.4091388371203,0.0,Konstant,5900.0,0.9784172661870504
